open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722470400000,-0.00039784,-0.00020972,-0.00054554,-0.00046425,0,1722470459999,0,12,0,0,0
1722470460000,-0.00048623,-0.00005364,-0.00048623,-0.00034266,0,1722470519999,0,12,0,0,0
1722470520000,-0.00034770,0.00004290,-0.00056226,-0.00056226,0,1722470579999,0,12,0,0,0
1722470580000,-0.00055011,-0.00004341,-0.00055011,-0.00010936,0,1722470639999,0,12,0,0,0
1722470640000,-0.00025821,-0.00011038,-0.00045075,-0.00029087,0,1722470699999,0,12,0,0,0
1722470700000,-0.00026124,-0.00008424,-0.00028732,-0.00018515,0,1722470759999,0,12,0,0,0
1722470760000,-0.00017278,-0.00009867,-0.00036509,-0.00031579,0,1722470819999,0,12,0,0,0
1722470820000,-0.00026258,-0.00013747,-0.00054394,-0.00040567,0,1722470879999,0,12,0,0,0
1722470880000,-0.00032111,-0.00001309,-0.00048181,-0.00033430,0,1722470939999,0,12,0,0,0
1722470940000,-0.00019709,0.00010230,-0.00030387,-0.00029986,0,1722470999999,0,12,0,0,0
1722471000000,-0.00011831,-0.00008412,-0.00055264,-0.00049559,0,1722471059999,0,12,0,0,0
1722471060000,-0.00029956,-0.00011240,-0.00055184,-0.00011240,0,1722471119999,0,12,0,0,0
1722471120000,-0.00037255,-0.00036327,-0.00053609,-0.00037852,0,1722471179999,0,12,0,0,0
1722471180000,-0.00064469,-0.00032087,-0.00064469,-0.00049437,0,1722471239999,0,12,0,0,0
1722471240000,-0.00045571,-0.00012891,-0.00053634,-0.00013511,0,1722471299999,0,12,0,0,0
1722471300000,-0.00010492,0,-0.00031742,-0.00026511,0,1722471359999,0,12,0,0,0
1722471360000,-0.00013096,-0.00003162,-0.00049549,-0.00011134,0,1722471419999,0,12,0,0,0
1722471420000,-0.00035939,-0.00019722,-0.00070075,-0.00070075,0,1722471479999,0,12,0,0,0
1722471480000,-0.00039182,-0.00016511,-0.00067159,-0.00056439,0,1722471539999,0,12,0,0,0
1722471540000,-0.00032388,-0.00013820,-0.00054200,-0.00032893,0,1722471599999,0,12,0,0,0
1722471600000,-0.00009631,-0.00000449,-0.00053207,-0.00044615,0,1722471659999,0,12,0,0,0
1722471660000,-0.00046841,-0.00010603,-0.00055416,-0.00034512,0,1722471719999,0,12,0,0,0
1722471720000,-0.00027882,-0.00015220,-0.00062498,-0.00015220,0,1722471779999,0,12,0,0,0
1722471780000,-0.00026059,-0.00009607,-0.00055230,-0.00055230,0,1722471839999,0,12,0,0,0
1722471840000,-0.00015081,-0.00015081,-0.00055807,-0.00022692,0,1722471899999,0,12,0,0,0
1722471900000,-0.00046769,-0.00026485,-0.00049420,-0.00026485,0,1722471959999,0,12,0,0,0
1722471960000,-0.00048252,-0.00030505,-0.00074702,-0.00056609,0,1722472019999,0,12,0,0,0
1722472020000,-0.00053946,-0.00000943,-0.00066785,-0.00010772,0,1722472079999,0,12,0,0,0
1722472080000,-0.00009140,-0.00009140,-0.00083568,-0.00069518,0,1722472139999,0,12,0,0,0
1722472140000,-0.00054807,-0.00036317,-0.00072028,-0.00066708,0,1722472199999,0,12,0,0,0
1722472200000,-0.00085473,-0.00019638,-0.00096300,-0.00031356,0,1722472259999,0,12,0,0,0
1722472260000,-0.00078974,0.00003011,-0.00084998,0.00001014,0,1722472319999,0,12,0,0,0
1722472320000,-0.00026704,-0.00010803,-0.00056129,-0.00033694,0,1722472379999,0,12,0,0,0
1722472380000,-0.00051348,-0.00010352,-0.00068836,-0.00034643,0,1722472439999,0,12,0,0,0
1722472440000,-0.00011153,-0.00011153,-0.00043850,-0.00020842,0,1722472499999,0,12,0,0,0
1722472500000,-0.00012070,-0.00004172,-0.00036915,-0.00013319,0,1722472559999,0,12,0,0,0
1722472560000,-0.00028945,0.00001967,-0.00028945,-0.00017364,0,1722472619999,0,12,0,0,0
1722472620000,-0.00036117,0,-0.00049463,-0.00025569,0,1722472679999,0,12,0,0,0
1722472680000,-0.00044794,-0.00021763,-0.00050215,-0.00031963,0,1722472739999,0,12,0,0,0
1722472740000,-0.00034196,-0.00011626,-0.00048188,-0.00033027,0,1722472799999,0,12,0,0,0
1722472800000,-0.00050885,-0.00002730,-0.00060654,-0.00023176,0,1722472859999,0,12,0,0,0
1722472860000,-0.00043706,-0.00021352,-0.00054466,-0.00041190,0,1722472919999,0,12,0,0,0
1722472920000,-0.00030993,-0.00030993,-0.00058778,-0.00045525,0,1722472979999,0,12,0,0,0
1722472980000,-0.00053872,-0.00043033,-0.00070234,-0.00070234,0,1722473039999,0,12,0,0,0
